text,label,cleaned_text,label_encoded
"Flood in Assam, NDRF teams deployed to assist people",real,flood in assam ndrf teams deployed to assist people,0
Cyclone warning issued by IMD for Odisha coast,real,cyclone warning issued by imd for odisha coast,0
Breaking: Government announces relief package for Kerala floods,real,breaking government announces relief package for kerala floods,0
Fake donation link circulating on WhatsApp for Bihar flood victims,real,fake donation link circulating on whatsapp for bihar flood victims,0
"Earthquake tremors felt in Delhi, no damage reported",real,earthquake tremors felt in delhi no damage reported,0
"Fake news: Tsunami expected in Mumbai, people panic",real,fake news tsunami expected in mumbai people panic,0
"Heavy rains in Chennai, schools declared holiday",real,heavy rains in chennai schools declared holiday,0
Message circulating about free recharge for flood victims is fake,real,message circulating about free recharge for flood victims is fake,0
Real-time update: Red alert in Gujarat due to cyclone,real,realtime update red alert in gujarat due to cyclone,0
Fake: NASA predicts massive earthquake in India tomorrow,real,fake nasa predicts massive earthquake in india tomorrow,0
NDRF rescues 200 people stranded in Assam floods,real,ndrf rescues 200 people stranded in assam floods,0
Fake donation appeal spotted on social media for Odisha cyclone,real,fake donation appeal spotted on social media for odisha cyclone,0
"PM visits flood-hit areas, announces relief measures",real,pm visits floodhit areas announces relief measures,0
Rumour: Drinking hot water prevents heatstroke deaths,real,rumour drinking hot water prevents heatstroke deaths,0
Cyclone Fani aftermath: Power supply restored in Odisha,real,cyclone fani aftermath power supply restored in odisha,0
Fake: Cloudburst expected in Delhi shared on WhatsApp,real,fake cloudburst expected in delhi shared on whatsapp,0
Real news: NDMA issues safety guidelines for cyclone season,real,real news ndma issues safety guidelines for cyclone season,0
Fake tweet claims foreign aid blocked by government,real,fake tweet claims foreign aid blocked by government,0
"Kerala receives heavy rainfall, IMD issues red alert",real,kerala receives heavy rainfall imd issues red alert,0
Rumour spreading: Crocodiles on streets after Mumbai floods,real,rumour spreading crocodiles on streets after mumbai floods,0
Schools reopen in flood-affected Bihar after 2 weeks,real,schools reopen in floodaffected bihar after 2 weeks,0
Fake message: Free petrol offered to flood victims,real,fake message free petrol offered to flood victims,0
Relief camps set up in Andhra Pradesh after heavy rains,real,relief camps set up in andhra pradesh after heavy rains,0
Fake: Minister resigns due to mishandling of cyclone relief,real,fake minister resigns due to mishandling of cyclone relief,0
"Real-time update: Landslide in Uttarakhand, rescue ops underway",real,realtime update landslide in uttarakhand rescue ops underway,0
Fake viral post: River Ganga dried up completely,fake,fake viral post river ganga dried up completely,1
Odisha government distributes food kits in cyclone shelters,fake,odisha government distributes food kits in cyclone shelters,1
Fake news: Volcano eruption predicted in Himalayas,fake,fake news volcano eruption predicted in himalayas,1
Medical teams deployed in Assam flood-hit districts,fake,medical teams deployed in assam floodhit districts,1
Fake image: Sharks swimming on highways after floods,fake,fake image sharks swimming on highways after floods,1
Rescue boats sent to flood-affected villages in Bihar,fake,rescue boats sent to floodaffected villages in bihar,1
Rumour: Mobile towers emit harmful waves during rainfall,fake,rumour mobile towers emit harmful waves during rainfall,1
Cyclone alert downgraded in Tamil Nadu,fake,cyclone alert downgraded in tamil nadu,1
Fake: Earthquake predicted at exact time by astrologer,fake,fake earthquake predicted at exact time by astrologer,1
Relief aid from NGOs reaches flood-hit Assam,fake,relief aid from ngos reaches floodhit assam,1
Fake audio clip claims drinking alcohol cures snake bites,fake,fake audio clip claims drinking alcohol cures snake bites,1
Heavy rainfall causes waterlogging in Mumbai,fake,heavy rainfall causes waterlogging in mumbai,1
Fake: Free laptops for flood victims announced,fake,fake free laptops for flood victims announced,1
Real: IMD confirms no cyclone threat to West Bengal,fake,real imd confirms no cyclone threat to west bengal,1
Fake message about foreign military helping cyclone rescue,fake,fake message about foreign military helping cyclone rescue,1
Rescue helicopters deployed in Himachal landslides,fake,rescue helicopters deployed in himachal landslides,1
Fake: River changed its course overnight after floods,fake,fake river changed its course overnight after floods,1
NDRF sets up emergency helpline for cyclone victims,fake,ndrf sets up emergency helpline for cyclone victims,1
Fake viral news: Airborne virus spreading after floods,fake,fake viral news airborne virus spreading after floods,1
Chief Minister reviews disaster preparedness,fake,chief minister reviews disaster preparedness,1
Fake claim: Free ration for everyone in city due to rains,fake,fake claim free ration for everyone in city due to rains,1
Army assists in rescue operations in Uttarakhand,fake,army assists in rescue operations in uttarakhand,1
Fake image of collapsed building during earthquake,fake,fake image of collapsed building during earthquake,1
Cyclone relief funds approved by central government,fake,cyclone relief funds approved by central government,1
Rumour: Floods caused due to cloud seeding experiments,fake,rumour floods caused due to cloud seeding experiments,1
